case_candidate_id,sample_id,sample_type,attack_family,attack_name,attack_target_model,original_image_id,generated_image_id,fold,final_label,source_dataset,image_relative_path,image_sha256_manifest,image_md5_manifest,manifest_source,evaluated_model,evaluation_fold,model_checkpoint_path,image_exists,image_sha256_actual,image_md5_actual,prediction,confidence,prob_non_weapon,prob_weapon,true_label_confidence,correct,error,created_at,clean_correct,clean_confidence,confidence_delta_vs_clean,sample_type_norm,final_label_norm,prediction_norm,attack_name_norm,attack_family_norm,confidence_numeric,correct_bool,clean_correct_bool,true_label_confidence_delta_numeric,attack_filter_key,priority_rank,priority_score,true_label_drop_abs,unique_case_key,attack_order,manual_xai_decision,manual_xai_notes,manual_reviewer_id,manual_timestamp,manual_xai_state
candidate_0001,img_00000001__fgsm__efficientnet_b0,perturbed,adversarial,fgsm,efficientnet_b0,img_00000001,img_00000001__fgsm__efficientnet_b0,fold_2,weapon,01_kaggle_weapon,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00000001__fgsm__efficientnet_b0.png,15474528907adadedb41d78601577da602a2107efc26db29138e53ca48574d56,c997927e4a616bfaeda1a4f16d270edd,attacks/manifests/adversarial_fgsm_efficientnet_b0_manifest.csv,efficientnet_b0,fold_2,models/checkpoints/efficientnet_b0/fold_2.pt,True,15474528907adadedb41d78601577da602a2107efc26db29138e53ca48574d56,c997927e4a616bfaeda1a4f16d270edd,non_weapon,0.999484658241272,0.999484658241272,0.0005153506645001,0.0005153506645001,False,,2026-05-11T17:03:55+00:00,True,0.960702896118164,0.0387817621231079,perturbed,weapon,non_weapon,fgsm,adversarial,0.999484658241272,False,True,0.0,fgsm,1,0.999484658241272,0.0,img_00000001,0,,,,,pending
candidate_0002,img_00014484__fgsm__efficientnet_b0,perturbed,adversarial,fgsm,efficientnet_b0,img_00014484,img_00014484__fgsm__efficientnet_b0,fold_2,weapon,05_deepweb,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00014484__fgsm__efficientnet_b0.png,8e79e4fb3a6135db5b104b9386a271ba5f23c598bcedb7ae704987e5a17b9f35,34e6999e81a107faa6640ef165ef2b4b,attacks/manifests/adversarial_fgsm_efficientnet_b0_manifest.csv,efficientnet_b0,fold_2,models/checkpoints/efficientnet_b0/fold_2.pt,True,8e79e4fb3a6135db5b104b9386a271ba5f23c598bcedb7ae704987e5a17b9f35,34e6999e81a107faa6640ef165ef2b4b,non_weapon,0.9992629885673524,0.9992629885673524,0.0007369476370513,0.0007369476370513,False,,2026-05-11T17:03:55+00:00,True,0.5298157930374146,0.4694471955299377,perturbed,weapon,non_weapon,fgsm,adversarial,0.9992629885673524,False,True,0.0,fgsm,1,0.9992629885673524,0.0,img_00014484,0,,,,,pending
candidate_0003,img_00012742__fgsm__efficientnet_b0,perturbed,adversarial,fgsm,efficientnet_b0,img_00012742,img_00012742__fgsm__efficientnet_b0,fold_3,weapon,03_google_scraped,attacks/adversarial/fgsm/efficientnet_b0/fold_3/weapon/img_00012742__fgsm__efficientnet_b0.png,5aeeffd5b5463f0037df414f2d39bfbe1c56843651f46436837661ed3d83b7c2,99459661942e2bd6fb5b3313307add6d,attacks/manifests/adversarial_fgsm_efficientnet_b0_manifest.csv,efficientnet_b0,fold_3,models/checkpoints/efficientnet_b0/fold_3.pt,True,5aeeffd5b5463f0037df414f2d39bfbe1c56843651f46436837661ed3d83b7c2,99459661942e2bd6fb5b3313307add6d,non_weapon,0.9990498423576356,0.9990498423576356,0.0009501432068645,0.0009501432068645,False,,2026-05-11T17:03:55+00:00,True,0.6452012062072754,0.3538486361503601,perturbed,weapon,non_weapon,fgsm,adversarial,0.9990498423576356,False,True,0.0,fgsm,1,0.9990498423576356,0.0,img_00012742,0,,,,,pending
candidate_0004,img_00014510__one_pixel__efficientnet_b0,perturbed,adversarial,one_pixel,efficientnet_b0,img_00014510,img_00014510__one_pixel__efficientnet_b0,fold_3,weapon,05_deepweb,attacks/adversarial/one_pixel/efficientnet_b0/fold_3/weapon/img_00014510__one_pixel__efficientnet_b0.png,ed6b8facfd174ef04635e748db6ec9af252b08c9629e7548ec2d5239d2092e75,035d085373d526107b238424e7e8618d,attacks/manifests/adversarial_one_pixel_efficientnet_b0_manifest.csv,efficientnet_b0,fold_3,models/checkpoints/efficientnet_b0/fold_3.pt,True,ed6b8facfd174ef04635e748db6ec9af252b08c9629e7548ec2d5239d2092e75,035d085373d526107b238424e7e8618d,non_weapon,0.50980544090271,0.50980544090271,0.4901945292949676,0.4901945292949676,False,,2026-05-11T17:03:55+00:00,True,0.6350021362304688,-0.1251966953277588,perturbed,weapon,non_weapon,one_pixel,adversarial,0.50980544090271,False,True,0.0,one_pixel,1,0.50980544090271,0.0,img_00014510,1,,,,,pending
candidate_0005,img_00014947__one_pixel__efficientnet_b0,perturbed,adversarial,one_pixel,efficientnet_b0,img_00014947,img_00014947__one_pixel__efficientnet_b0,fold_4,non_weapon,05_deepweb,attacks/adversarial/one_pixel/efficientnet_b0/fold_4/non_weapon/img_00014947__one_pixel__efficientnet_b0.png,40b7bbd500361a8a66e52394843084a6b9b00dad4141fb29ea8b7b1606803408,af053b0c024a5f57c872797df8e703fe,attacks/manifests/adversarial_one_pixel_efficientnet_b0_manifest.csv,efficientnet_b0,fold_4,models/checkpoints/efficientnet_b0/fold_4.pt,True,40b7bbd500361a8a66e52394843084a6b9b00dad4141fb29ea8b7b1606803408,af053b0c024a5f57c872797df8e703fe,weapon,0.5017078518867493,0.4982922375202179,0.5017078518867493,0.4982922375202179,False,,2026-05-11T17:03:55+00:00,True,0.5465148687362671,-0.0448070168495178,perturbed,non_weapon,weapon,one_pixel,adversarial,0.5017078518867493,False,True,0.0,one_pixel,2,0.5017078518867493,0.0,img_00014947,1,,,,,pending
candidate_0006,img_00012949__one_pixel__efficientnet_b0,perturbed,adversarial,one_pixel,efficientnet_b0,img_00012949,img_00012949__one_pixel__efficientnet_b0,fold_2,non_weapon,03_google_scraped,attacks/adversarial/one_pixel/efficientnet_b0/fold_2/non_weapon/img_00012949__one_pixel__efficientnet_b0.png,fcb6c79d323e473ba03d836f8ac94b14a4e677e0bc96faa29c410a7de8171f2c,8af16f1fe3094fcb6cfd09dfad035da4,attacks/manifests/adversarial_one_pixel_efficientnet_b0_manifest.csv,efficientnet_b0,fold_2,models/checkpoints/efficientnet_b0/fold_2.pt,True,fcb6c79d323e473ba03d836f8ac94b14a4e677e0bc96faa29c410a7de8171f2c,8af16f1fe3094fcb6cfd09dfad035da4,weapon,0.999757707118988,0.0002423349505988,0.999757707118988,0.0002423349505988,False,,2026-05-11T17:03:55+00:00,False,0.9997519850730896,5.7220458984375e-06,perturbed,non_weapon,weapon,one_pixel,adversarial,0.999757707118988,False,False,0.0,one_pixel,3,0.999757707118988,0.0,img_00012949,1,,,,,pending
candidate_0007,img_00004534__sigma_zero__efficientnet_b0,perturbed,adversarial,sigma_zero,efficientnet_b0,img_00004534,img_00004534__sigma_zero__efficientnet_b0,fold_5,weapon,02_deepfirearm,attacks/adversarial/sigma_zero/efficientnet_b0/fold_5/weapon/img_00004534__sigma_zero__efficientnet_b0.png,c98a5837dbee373c2d750e32204eae4ceea6bb75afcbdac9cf135a8c1bc76d7c,6471d6288784c40b2a04c5c9163b59f2,attacks/manifests/adversarial_sigma_zero_efficientnet_b0_manifest.csv,efficientnet_b0,fold_5,models/checkpoints/efficientnet_b0/fold_5.pt,True,c98a5837dbee373c2d750e32204eae4ceea6bb75afcbdac9cf135a8c1bc76d7c,6471d6288784c40b2a04c5c9163b59f2,non_weapon,0.9572362899780272,0.9572362899780272,0.0427637174725532,0.0427637174725532,False,,2026-05-11T17:03:55+00:00,True,0.9984159469604492,-0.0411796569824218,perturbed,weapon,non_weapon,sigma_zero,adversarial,0.9572362899780272,False,True,0.0,sigma_zero,1,0.9572362899780272,0.0,img_00004534,2,,,,,pending
candidate_0008,img_00009539__sigma_zero__efficientnet_b0,perturbed,adversarial,sigma_zero,efficientnet_b0,img_00009539,img_00009539__sigma_zero__efficientnet_b0,fold_3,weapon,02_deepfirearm,attacks/adversarial/sigma_zero/efficientnet_b0/fold_3/weapon/img_00009539__sigma_zero__efficientnet_b0.png,6301e20c94a5cb0461926cb4d2edfc83a43459a7b3721242c91a4130c56bf5c6,a578856efdc3f48a83ac3c08e763e55f,attacks/manifests/adversarial_sigma_zero_efficientnet_b0_manifest.csv,efficientnet_b0,fold_3,models/checkpoints/efficientnet_b0/fold_3.pt,True,6301e20c94a5cb0461926cb4d2edfc83a43459a7b3721242c91a4130c56bf5c6,a578856efdc3f48a83ac3c08e763e55f,non_weapon,0.9403375387191772,0.9403375387191772,0.0596624836325645,0.0596624836325645,False,,2026-05-11T17:03:55+00:00,True,0.99956876039505,-0.0592312216758728,perturbed,weapon,non_weapon,sigma_zero,adversarial,0.9403375387191772,False,True,0.0,sigma_zero,1,0.9403375387191772,0.0,img_00009539,2,,,,,pending
candidate_0009,img_00014419__sigma_zero__efficientnet_b0,perturbed,adversarial,sigma_zero,efficientnet_b0,img_00014419,img_00014419__sigma_zero__efficientnet_b0,fold_3,weapon,05_deepweb,attacks/adversarial/sigma_zero/efficientnet_b0/fold_3/weapon/img_00014419__sigma_zero__efficientnet_b0.png,c2a2ac6af3722e12d77951bec9804dd6364f3e33df2c869a70a2e90eb5c07881,6a1b8a8c8bb8fb3001ea466b7b290c49,attacks/manifests/adversarial_sigma_zero_efficientnet_b0_manifest.csv,efficientnet_b0,fold_3,models/checkpoints/efficientnet_b0/fold_3.pt,True,c2a2ac6af3722e12d77951bec9804dd6364f3e33df2c869a70a2e90eb5c07881,6a1b8a8c8bb8fb3001ea466b7b290c49,non_weapon,0.8676846027374268,0.8676846027374268,0.132315382361412,0.132315382361412,False,,2026-05-11T17:03:55+00:00,True,0.9981704950332642,-0.1304858922958374,perturbed,weapon,non_weapon,sigma_zero,adversarial,0.8676846027374268,False,True,0.0,sigma_zero,1,0.8676846027374268,0.0,img_00014419,2,,,,,pending
candidate_0010,img_00015090__superdeepfool__efficientnet_b0,perturbed,adversarial,superdeepfool,efficientnet_b0,img_00015090,img_00015090__superdeepfool__efficientnet_b0,fold_5,non_weapon,05_deepweb,attacks/adversarial/superdeepfool/efficientnet_b0/fold_5/non_weapon/img_00015090__superdeepfool__efficientnet_b0.png,f9ce657def080ec4c65b875c40a96c24898d899d82464e56a4a3a5e06bd074d2,dfcfff03b862b02c9010f3feb255fdb8,attacks/manifests/adversarial_superdeepfool_efficientnet_b0_manifest.csv,efficientnet_b0,fold_5,models/checkpoints/efficientnet_b0/fold_5.pt,True,f9ce657def080ec4c65b875c40a96c24898d899d82464e56a4a3a5e06bd074d2,dfcfff03b862b02c9010f3feb255fdb8,weapon,0.924714207649231,0.0752857401967048,0.924714207649231,0.0752857401967048,False,,2026-05-11T17:03:55+00:00,True,0.9727801084518432,-0.0480659008026123,perturbed,non_weapon,weapon,superdeepfool,adversarial,0.924714207649231,False,True,0.0,superdeepfool,2,0.924714207649231,0.0,img_00015090,3,,,,,pending
