image_id,relative_path,source_dataset,source_group,sha256,final_label,review_state,review_notes,reviewer_id,review_timestamp,source_priority
img_00000001,images/img_00000001.jpg,01_kaggle_weapon,kaggle,a9df9263d583d137f19ed1578dd0906d19b44a107d8046794fef3a9ad9389a99,weapon,reviewed,,Lello,2026-04-22T08:46:22+00:00,4
img_00000002,images/img_00000002.jpg,01_kaggle_weapon,kaggle,7a7d8e2da32ca3cd887666524285720c66283cc691b7075ec48510003d1b724b,weapon,reviewed,,Lello,2026-04-22T08:46:33+00:00,4
img_00000003,images/img_00000003.jpg,01_kaggle_weapon,kaggle,efa5d09ad0e32d215b4cf92103658bd8f539bce02ac34f8c67fd8044e597715f,weapon,reviewed,,Lello,2026-04-22T08:46:34+00:00,4
img_00000004,images/img_00000004.jpg,01_kaggle_weapon,kaggle,768d8265386d41b3bcce73ae5becccd59c425358143101e6a429dc5a7c36aaae,weapon,reviewed,,Lello,2026-04-22T08:46:37+00:00,4
img_00000005,images/img_00000005.jpg,01_kaggle_weapon,kaggle,80634cc6bac7fd5a77fe211611d5e9186b6a3694c0b287c11632c4e844fe549e,weapon,reviewed,,Lello,2026-04-22T08:46:38+00:00,4
img_00000006,images/img_00000006.jpeg,01_kaggle_weapon,kaggle,53632b0dcc9c8b8b79da2cf9ed829da6f1e49241eba912c0c63bb10ba00a8ff8,weapon,reviewed,,Lello,2026-04-22T08:46:40+00:00,4
img_00000007,images/img_00000007.jpeg,01_kaggle_weapon,kaggle,3df5b7a968dc6c91265468c6d6ed3286c3f8a914f865f9550af76469c0d1e20e,weapon,reviewed,,Lello,2026-04-22T08:46:42+00:00,4
img_00000014,images/img_00000014.png,01_kaggle_weapon,kaggle,9e72cf191b6539dc28f205176aa14bef73d2ff9ad7f9c79765c8147be68cb147,weapon,reviewed,,Lello,2026-04-22T08:46:50+00:00,4
img_00000016,images/img_00000016.jpeg,01_kaggle_weapon,kaggle,77023af700c6393981c82b34a69ca3f178c5499564dc4bf6cfba4277204763c5,weapon,reviewed,,Lello,2026-04-22T08:46:52+00:00,4
img_00000020,images/img_00000020.jpeg,01_kaggle_weapon,kaggle,69f1b2e9a1945edacb78acbe7d33021cb549a42879cfde1ad73a9205d789c0c8,weapon,reviewed,,Lello,2026-04-22T08:46:56+00:00,4
img_00000022,images/img_00000022.jpeg,01_kaggle_weapon,kaggle,5401e0d351375c934eccb9eeb02db3b7bde60a34f785e9ab747a5bbc45dc5498,weapon,reviewed,,Lello,2026-04-22T08:46:57+00:00,4
img_00000023,images/img_00000023.jpeg,01_kaggle_weapon,kaggle,4632d9aeb70633cfaef57985847fcd9ce1b87a9e2ee5c08ac82d57efc6faf66b,weapon,reviewed,,Lello,2026-04-22T08:46:59+00:00,4
img_00000031,images/img_00000031.jpeg,01_kaggle_weapon,kaggle,329c9b874b82dbdbf1d42c01185cba8b44e103b97b02659f398f050401acd10c,weapon,reviewed,,Lello,2026-04-22T08:47:05+00:00,4
img_00000035,images/img_00000035.jpeg,01_kaggle_weapon,kaggle,c27d63aa78099bf560602fd5b19a605bb34737bad5158588891ed60d9e258be2,weapon,reviewed,,Lello,2026-04-22T08:49:30+00:00,4
