tool_name,bundle_id,sample_type,attack_family,attack_name,final_label,weapon_detected,normalized_prediction,classifications
cellebrite_inseyets,bundle_000001,clean,none,clean,non_weapon,true,weapon,Pistola (61%)
cellebrite_inseyets,bundle_000002,clean,none,clean,non_weapon,true,weapon,Valigia (91%) | Armi (64%)
cellebrite_inseyets,bundle_000003,clean,none,clean,non_weapon,false,non_weapon,Smartphone (89%) | Oggetto tenuto in mano (86%)
cellebrite_inseyets,bundle_000004,clean,none,clean,non_weapon,false,non_weapon,Documenti (97%) | Smartphone (84%) | Codici a barre e codici QR (61%)
cellebrite_inseyets,bundle_000005,clean,none,clean,non_weapon,false,non_weapon,Smartphone (98%)
cellebrite_inseyets,bundle_000006,clean,none,clean,non_weapon,false,non_weapon,Documenti (99%) | Smartphone (96%) | Codici a barre e codici QR (54%) | Viso (52%)
cellebrite_inseyets,bundle_000007,clean,none,clean,non_weapon,false,non_weapon,Raduni (77%) | Oggetto tenuto in mano (73%) | Fotocamera (61%) | Spiaggia (58%) | Viso (56%)
cellebrite_inseyets,bundle_000008,clean,none,clean,non_weapon,false,non_weapon,Viso (100%) | Oggetto tenuto in mano (88%) | Spiaggia (86%) | Fotocamera (58%)
cellebrite_inseyets,bundle_000009,clean,none,clean,non_weapon,false,non_weapon,Catture di schermata (100%)
cellebrite_inseyets,bundle_000010,clean,none,clean,non_weapon,false,non_weapon,Targhe (66%) | Camion (63%)
cellebrite_inseyets,bundle_000011,clean,none,clean,non_weapon,false,non_weapon,Camion (87%) | Portacontainer (81%) | Targhe (57%)
cellebrite_inseyets,bundle_000012,clean,none,clean,non_weapon,true,weapon,Pistola (75%) | Documenti (52%)
cellebrite_inseyets,bundle_000013,clean,none,clean,non_weapon,false,non_weapon,
cellebrite_inseyets,bundle_000014,clean,none,clean,non_weapon,false,non_weapon,Documenti (100%)
cellebrite_inseyets,bundle_000015,clean,none,clean,non_weapon,false,non_weapon,Spiaggia (99%)
cellebrite_inseyets,bundle_000016,clean,none,clean,non_weapon,false,non_weapon,Denaro (96%)
cellebrite_inseyets,bundle_000017,clean,none,clean,non_weapon,false,non_weapon,Documenti (100%) | Viso (99%) | ID foto (79%)
cellebrite_inseyets,bundle_000018,clean,none,clean,non_weapon,true,weapon,Viso (100%) | Pistola (71%) | Armi (51%)
cellebrite_inseyets,bundle_000019,clean,none,clean,non_weapon,false,non_weapon,Ristorante (59%)
cellebrite_inseyets,bundle_000020,clean,none,clean,non_weapon,false,non_weapon,Gioielli (87%) | Documenti (77%) | Coltelli (75%)
cellebrite_inseyets,bundle_000021,clean,none,clean,non_weapon,false,non_weapon,Smartphone (89%) | Droga (81%)
cellebrite_inseyets,bundle_000022,clean,none,clean,non_weapon,false,non_weapon,Droga (95%) | Cibo (65%)
cellebrite_inseyets,bundle_000023,clean,none,clean,non_weapon,false,non_weapon,ID foto (99%) | Oggetto tenuto in mano (98%) | Viso (95%) | Documenti (92%) | Smartphone (83%) | Codici a barre e codici QR (67%)
cellebrite_inseyets,bundle_000024,clean,none,clean,non_weapon,false,non_weapon,Droga (71%) | Oggetto tenuto in mano (61%) | Bandiere (56%)
cellebrite_inseyets,bundle_000025,clean,none,clean,non_weapon,false,non_weapon,Documenti (93%) | Codici a barre e codici QR (89%) | ID foto (41%)
cellebrite_inseyets,bundle_000026,clean,none,clean,non_weapon,false,non_weapon,Bandiere (60%)
cellebrite_inseyets,bundle_000027,clean,none,clean,non_weapon,false,non_weapon,Smartphone (90%) | Documenti (85%)
cellebrite_inseyets,bundle_000028,clean,none,clean,non_weapon,false,non_weapon,Documenti (99%) | Scrittura a mano (59%)
cellebrite_inseyets,bundle_000029,clean,none,clean,non_weapon,true,weapon,Oggetto tenuto in mano (68%) | Pistola (56%)
cellebrite_inseyets,bundle_000030,clean,none,clean,non_weapon,false,non_weapon,
cellebrite_inseyets,bundle_000031,clean,none,clean,non_weapon,false,non_weapon,Droga (55%)
cellebrite_inseyets,bundle_000032,clean,none,clean,non_weapon,false,non_weapon,Documenti (100%)
cellebrite_inseyets,bundle_000033,clean,none,clean,non_weapon,false,non_weapon,Documenti (99%)
cellebrite_inseyets,bundle_000034,clean,none,clean,non_weapon,false,non_weapon,Oggetto tenuto in mano (80%) | Documenti (75%) | Smartphone (54%)
cellebrite_inseyets,bundle_000035,clean,none,clean,non_weapon,false,non_weapon,Documenti (100%) | Codici a barre e codici QR (59%)
