run_tag,case_id,created_at,selection_strategy,evaluated_model,evaluation_fold,sample_type,attack_family,attack_name,final_label,prediction,confidence,correct,clean_correct,original_image_id,generated_image_id,sample_id,input_relative_path,ig_output_path,attribution_target_index,attribution_target_label,method,n_steps
efficientnet_b0_weapon_to_non_weapon,xai_case_0001,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.999484658241272,False,True,img_00000001,img_00000001__fgsm__efficientnet_b0,img_00000001__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00000001__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0001__img_00000001__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0002,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.9992629885673524,False,True,img_00014484,img_00014484__fgsm__efficientnet_b0,img_00014484__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00014484__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0002__img_00014484__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0003,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_3,perturbed,adversarial,fgsm,weapon,non_weapon,0.9990498423576356,False,True,img_00012742,img_00012742__fgsm__efficientnet_b0,img_00012742__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_3/weapon/img_00012742__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0003__img_00012742__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0004,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_5,perturbed,adversarial,fgsm,weapon,non_weapon,0.9983768463134766,False,True,img_00000005,img_00000005__fgsm__efficientnet_b0,img_00000005__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_5/weapon/img_00000005__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0004__img_00000005__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0005,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_5,perturbed,adversarial,fgsm,weapon,non_weapon,0.9982656836509703,False,True,img_00013591,img_00013591__fgsm__efficientnet_b0,img_00013591__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_5/weapon/img_00013591__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0005__img_00013591__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0006,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_5,perturbed,adversarial,fgsm,weapon,non_weapon,0.9980456829071044,False,True,img_00013655,img_00013655__fgsm__efficientnet_b0,img_00013655__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_5/weapon/img_00013655__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0006__img_00013655__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0007,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_3,perturbed,adversarial,fgsm,weapon,non_weapon,0.997725784778595,False,True,img_00000166,img_00000166__fgsm__efficientnet_b0,img_00000166__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_3/weapon/img_00000166__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0007__img_00000166__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0008,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.9973260164260864,False,True,img_00013534,img_00013534__fgsm__efficientnet_b0,img_00013534__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00013534__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0008__img_00013534__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0009,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.996232807636261,False,True,img_00013641,img_00013641__fgsm__efficientnet_b0,img_00013641__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00013641__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0009__img_00013641__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
efficientnet_b0_weapon_to_non_weapon,xai_case_0010,2026-05-11T19:27:06+00:00,weapon_to_non_weapon,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.9961321353912354,False,True,img_00013012,img_00013012__fgsm__efficientnet_b0,img_00013012__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00013012__fgsm__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_weapon_to_non_weapon/efficientnet_b0/fgsm/xai_case_0010__img_00013012__fgsm__efficientnet_b0.png,1,weapon,Integrated Gradients,32
