run_tag,created_at,candidate_id,manual_selected,selection_rank,reviewer_id,review_timestamp,selection_action,selection_notes,requested_cases_for_attack,evaluated_model,evaluation_fold,sample_type,attack_family,attack_name,final_label,prediction,confidence,correct,clean_correct,original_image_id,generated_image_id,sample_id,image_relative_path,clean_relative_path,perturbed_relative_path,sha256_original,sha256_perturbed,md5_original,md5_perturbed
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_2__fgsm__img_00000001_fgsm_efficientnet_b0,False,,,,,,3,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.999484658241272,False,True,img_00000001,img_00000001__fgsm__efficientnet_b0,img_00000001__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00000001__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_2__fgsm__img_00014484_fgsm_efficientnet_b0,False,,,,,,3,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.9992629885673524,False,True,img_00014484,img_00014484__fgsm__efficientnet_b0,img_00014484__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00014484__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_3__fgsm__img_00012742_fgsm_efficientnet_b0,True,,,,,,3,efficientnet_b0,fold_3,perturbed,adversarial,fgsm,weapon,non_weapon,0.9990498423576356,False,True,img_00012742,img_00012742__fgsm__efficientnet_b0,img_00012742__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_3/weapon/img_00012742__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_5__fgsm__img_00000005_fgsm_efficientnet_b0,False,,,,,,3,efficientnet_b0,fold_5,perturbed,adversarial,fgsm,weapon,non_weapon,0.9983768463134766,False,True,img_00000005,img_00000005__fgsm__efficientnet_b0,img_00000005__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_5/weapon/img_00000005__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_5__fgsm__img_00013591_fgsm_efficientnet_b0,True,,,,,,3,efficientnet_b0,fold_5,perturbed,adversarial,fgsm,weapon,non_weapon,0.9982656836509703,False,True,img_00013591,img_00013591__fgsm__efficientnet_b0,img_00013591__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_5/weapon/img_00013591__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_5__fgsm__img_00013655_fgsm_efficientnet_b0,True,,,,,,3,efficientnet_b0,fold_5,perturbed,adversarial,fgsm,weapon,non_weapon,0.9980456829071044,False,True,img_00013655,img_00013655__fgsm__efficientnet_b0,img_00013655__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_5/weapon/img_00013655__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_3__fgsm__img_00000166_fgsm_efficientnet_b0,False,,,,,,3,efficientnet_b0,fold_3,perturbed,adversarial,fgsm,weapon,non_weapon,0.997725784778595,False,True,img_00000166,img_00000166__fgsm__efficientnet_b0,img_00000166__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_3/weapon/img_00000166__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_2__fgsm__img_00013534_fgsm_efficientnet_b0,False,,,,,,3,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.9973260164260864,False,True,img_00013534,img_00013534__fgsm__efficientnet_b0,img_00013534__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00013534__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_2__fgsm__img_00013641_fgsm_efficientnet_b0,False,,,,,,3,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.996232807636261,False,True,img_00013641,img_00013641__fgsm__efficientnet_b0,img_00013641__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00013641__fgsm__efficientnet_b0.png,,,,,,
efficientnet_b0_attack_stratified_per_attack_3_multi_attack_manual_target_both_manual_all_attacks_3_cases_generate_ig,2026-05-12T01:45:54+00:00,efficientnet_b0__fold_2__fgsm__img_00013012_fgsm_efficientnet_b0,False,,,,,,3,efficientnet_b0,fold_2,perturbed,adversarial,fgsm,weapon,non_weapon,0.9961321353912354,False,True,img_00013012,img_00013012__fgsm__efficientnet_b0,img_00013012__fgsm__efficientnet_b0,attacks/adversarial/fgsm/efficientnet_b0/fold_2/weapon/img_00013012__fgsm__efficientnet_b0.png,,,,,,
