run_tag,created_at,candidate_id,manual_selected,selection_rank,reviewer_id,review_timestamp,selection_action,selection_notes,group_field,group_name,requested_cases_for_group,requested_cases_for_attack,case_bucket,xai_selection_reason,xai_priority_label,evaluated_model,evaluation_fold,sample_type,attack_family,attack_name,final_label,prediction,confidence,correct,clean_correct,original_image_id,generated_image_id,sample_id,image_relative_path,clean_relative_path,perturbed_relative_path,sha256_original,sha256_perturbed,md5_original,md5_perturbed
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00000157,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,1.0,True,True,img_00000157,img_00000157,img_00000157,datasets/splits/clean/fold_5/weapon/img_00000157.jpeg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00000837,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,1.0,True,True,img_00000837,img_00000837,img_00000837,datasets/splits/clean/fold_5/weapon/img_00000837.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00012716,True,1.0,Lello,2026-05-23T08:11:06+00:00,select,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,1.0,True,True,img_00012716,img_00012716,img_00012716,datasets/splits/clean/fold_5/weapon/img_00012716.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00014492,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,1.0,True,True,img_00014492,img_00014492,img_00014492,datasets/splits/clean/fold_5/weapon/img_00014492.jpeg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00000841,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999998807907104,True,True,img_00000841,img_00000841,img_00000841,datasets/splits/clean/fold_5/weapon/img_00000841.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00013522,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999998807907104,True,True,img_00013522,img_00013522,img_00013522,datasets/splits/clean/fold_5/weapon/img_00013522.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00014415,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999998807907104,True,True,img_00014415,img_00014415,img_00014415,datasets/splits/clean/fold_5/weapon/img_00014415.jpeg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_1__clean_correct_weapon__clean__img_00013620,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_1,clean,none,clean,weapon,weapon,0.9999997615814208,True,True,img_00013620,img_00013620,img_00013620,datasets/splits/clean/fold_1/weapon/img_00013620.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00013581,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999997615814208,True,True,img_00013581,img_00013581,img_00013581,datasets/splits/clean/fold_5/weapon/img_00013581.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_1__clean_correct_weapon__clean__img_00001144,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_1,clean,none,clean,weapon,weapon,0.9999996423721312,True,True,img_00001144,img_00001144,img_00001144,datasets/splits/clean/fold_1/weapon/img_00001144.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_1__clean_correct_weapon__clean__img_00014372,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_1,clean,none,clean,weapon,weapon,0.9999996423721312,True,True,img_00014372,img_00014372,img_00014372,datasets/splits/clean/fold_1/weapon/img_00014372.webp,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_1__clean_correct_weapon__clean__img_00014382,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_1,clean,none,clean,weapon,weapon,0.9999996423721312,True,True,img_00014382,img_00014382,img_00014382,datasets/splits/clean/fold_1/weapon/img_00014382.jpeg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00014424,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999996423721312,True,True,img_00014424,img_00014424,img_00014424,datasets/splits/clean/fold_5/weapon/img_00014424.jpeg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_1__clean_correct_weapon__clean__img_00000731,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_1,clean,none,clean,weapon,weapon,0.9999995231628418,True,True,img_00000731,img_00000731,img_00000731,datasets/splits/clean/fold_1/weapon/img_00000731.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_1__clean_correct_weapon__clean__img_00010551,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_1,clean,none,clean,weapon,weapon,0.9999995231628418,True,True,img_00010551,img_00010551,img_00010551,datasets/splits/clean/fold_1/weapon/img_00010551.jpg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_5__clean_correct_weapon__clean__img_00000243,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999995231628418,True,True,img_00000243,img_00000243,img_00000243,datasets/splits/clean/fold_5/weapon/img_00000243.jpeg,,,,,,
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,2026-05-23T08:10:49+00:00,efficientnet_b0__fold_4__clean_correct_weapon__clean__img_00000728,False,,,,,,case_bucket,clean_correct_weapon,3,,clean_correct_weapon,Clean weapon image correctly classified as weapon.,,efficientnet_b0,fold_4,clean,none,clean,weapon,weapon,0.9999994039535522,True,True,img_00000728,img_00000728,img_00000728,datasets/splits/clean/fold_4/weapon/img_00000728.jpg,,,,,,
