run_tag,case_id,created_at,selection_strategy,evaluated_model,evaluation_fold,sample_type,attack_family,attack_name,final_label,prediction,confidence,correct,clean_correct,original_image_id,generated_image_id,sample_id,input_relative_path,ig_output_path,attribution_target_index,attribution_target_label,method,n_steps
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0001,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,1.0,,,img_00012704,img_00012704,img_00012704,datasets/splits/ood/ood_eval_set/ood/img_00012704.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0001__img_00012704.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0002,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,0.9999994039535522,,,img_00013439,img_00013439,img_00013439,datasets/splits/ood/ood_eval_set/ood/img_00013439.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0002__img_00013439.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0003,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,0.9999982118606568,,,img_00013444,img_00013444,img_00013444,datasets/splits/ood/ood_eval_set/ood/img_00013444.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0003__img_00013444.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0004,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_1,ood,none,ood,ood,weapon,0.9999980926513672,,,img_00000308,img_00000308,img_00000308,datasets/splits/ood/ood_eval_set/ood/img_00000308.jpeg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0004__img_00000308.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0005,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_1,ood,none,ood,ood,weapon,0.9999972581863404,,,img_00013435,img_00013435,img_00013435,datasets/splits/ood/ood_eval_set/ood/img_00013435.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0005__img_00013435.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0006,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,0.9999971389770508,,,img_00013462,img_00013462,img_00013462,datasets/splits/ood/ood_eval_set/ood/img_00013462.png,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0006__img_00013462.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0007,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,0.9999942779541016,,,img_00013412,img_00013412,img_00013412,datasets/splits/ood/ood_eval_set/ood/img_00013412.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0007__img_00013412.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0008,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,0.999992847442627,,,img_00012735,img_00012735,img_00012735,datasets/splits/ood/ood_eval_set/ood/img_00012735.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0008__img_00012735.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0009,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,0.9999910593032836,,,img_00012701,img_00012701,img_00012701,datasets/splits/ood/ood_eval_set/ood/img_00012701.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0009__img_00012701.png,1,weapon,Integrated Gradients,32
efficientnet_b0_ood_high_confidence_thr_0_90,xai_case_0010,2026-05-11T19:25:46+00:00,ood_high_confidence,efficientnet_b0,fold_5,ood,none,ood,ood,weapon,0.9999903440475464,,,img_00012708,img_00012708,img_00012708,datasets/splits/ood/ood_eval_set/ood/img_00012708.jpg,explainability/outputs/integrated_gradients/efficientnet_b0_ood_high_confidence_thr_0_90/efficientnet_b0/ood/xai_case_0010__img_00012708.png,1,weapon,Integrated Gradients,32
