timestamp,reviewer_id,session_mode,review_class,review_source,image_id,source_dataset,relative_path,action,previous_label,new_label,review_state
2026-04-22T08:46:22+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000001,01_kaggle_weapon,images/img_00000001.jpg,assign_label,,weapon,reviewed
2026-04-22T08:46:33+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000002,01_kaggle_weapon,images/img_00000002.jpg,assign_label,,weapon,reviewed
2026-04-22T08:46:34+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000003,01_kaggle_weapon,images/img_00000003.jpg,assign_label,,weapon,reviewed
2026-04-22T08:46:37+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000004,01_kaggle_weapon,images/img_00000004.jpg,assign_label,,weapon,reviewed
2026-04-22T08:46:38+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000005,01_kaggle_weapon,images/img_00000005.jpg,assign_label,,weapon,reviewed
2026-04-22T08:46:40+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000006,01_kaggle_weapon,images/img_00000006.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:46:42+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000007,01_kaggle_weapon,images/img_00000007.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:46:46+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000009,01_kaggle_weapon,images/img_00000009.jpeg,assign_label,,ood,reviewed
2026-04-22T08:46:47+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000010,01_kaggle_weapon,images/img_00000010.jpeg,assign_label,,ood,reviewed
2026-04-22T08:46:50+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000014,01_kaggle_weapon,images/img_00000014.png,assign_label,,weapon,reviewed
2026-04-22T08:46:52+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000016,01_kaggle_weapon,images/img_00000016.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:46:53+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000017,01_kaggle_weapon,images/img_00000017.jpeg,assign_label,,ood,reviewed
2026-04-22T08:46:56+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000020,01_kaggle_weapon,images/img_00000020.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:46:57+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000022,01_kaggle_weapon,images/img_00000022.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:46:59+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000023,01_kaggle_weapon,images/img_00000023.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:47:05+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000031,01_kaggle_weapon,images/img_00000031.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:49:16+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000024,01_kaggle_weapon,images/img_00000024.jpeg,assign_label,,ood,reviewed
2026-04-22T08:49:27+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000027,01_kaggle_weapon,images/img_00000027.jpeg,assign_label,,ood,reviewed
2026-04-22T08:49:30+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000035,01_kaggle_weapon,images/img_00000035.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:49:33+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000039,01_kaggle_weapon,images/img_00000039.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:49:35+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000034,01_kaggle_weapon,images/img_00000034.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:49:37+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000041,01_kaggle_weapon,images/img_00000041.jpeg,assign_label,,weapon,reviewed
2026-04-22T08:49:38+00:00,Lello,review_pending,,01_kaggle_weapon,img_00000040,01_kaggle_weapon,images/img_00000040.jpeg,assign_label,,weapon,reviewed
